Time,Latitude,Longitude
0,39.600005,116.524871
1,39.600074,116.524173
2,39.600083,116.524458
3,39.600149,116.524379
4,39.600169,116.52383
5,39.600261,116.523821
6,39.600263,116.523486
7,39.600288,116.523886
8,39.600336,116.523508
9,39.600353,116.523141
10,39.600418,116.523189
11,39.600419,116.523383
12,39.600434,116.522799
13,39.6005,116.522866
14,39.600524,116.039373
15,39.600538,116.522883
16,39.600578,116.522539
17,39.600599,116.522104
18,39.600654,116.522383
19,39.600656,116.52221
20,39.600678,116.521751
21,39.600736,116.521878
22,39.600758,116.521406
23,39.600783,116.838119
24,39.600818,116.521556
25,39.600838,116.03968
26,39.600846,116.521051
27,39.600895,116.521223
28,39.600896,116.521374
29,39.60093,116.520701
30,39.601013,116.520344
31,39.601017,116.520655
32,39.601018,116.520871
33,39.601046,116.520564
34,39.601096,116.519994
35,39.60112,116.520244
36,39.601141,116.520364
37,39.601148,116.04
38,39.601174,116.519639
39,39.601196,116.51992
40,39.601255,116.519289
41,39.60126,116.519863
42,39.601271,116.519604
43,39.601331,116.837786
44,39.601343,116.519279
45,39.601375,116.519363
46,39.601421,116.518588
47,39.601423,116.518958
48,39.601465,116.04031
49,39.601498,116.518239
50,39.6015,116.518856
51,39.601501,116.518633
52,39.601576,116.517889
53,39.601583,116.518305
54,39.601618,116.518356
55,39.601658,116.517529
56,39.60166,116.517981
57,39.601733,116.517858
58,39.601741,116.517171
59,39.601781,116.040621
60,39.601808,116.517346
61,39.601828,116.516816
62,39.60184,116.517354
63,39.601874,116.837449
64,39.601881,116.517021
65,39.601918,116.516468
66,39.601961,116.516693
67,39.602005,116.516114
68,39.602036,116.516368
69,39.602075,116.516351
70,39.602088,116.515766
71,39.602098,116.040951
72,39.602111,116.516039
73,39.602184,116.51571
74,39.602189,116.515848
75,39.602245,116.515071
76,39.602261,116.515376
77,39.602304,116.515341
78,39.602326,116.514719
79,39.602335,116.515046
80,39.6024,116.514361
81,39.602408,116.514713
82,39.602411,116.041261
83,39.602414,116.837113
84,39.602428,116.514841
85,39.602478,116.514008
86,39.602541,116.514338
87,39.602556,116.514045
88,39.602563,116.513653
89,39.602629,116.513709
90,39.602643,116.513298
91,39.602658,116.51384
92,39.602678,116.041242
93,39.602701,116.513373
94,39.602723,116.041566
95,39.602726,116.512943
96,39.602771,116.513039
97,39.60278,116.513333
98,39.602811,116.512584
99,39.602839,116.512713
100,39.602886,116.512828
101,39.602896,116.512228
102,39.602908,116.512388
103,39.602961,116.836776
104,39.602976,116.512068
105,39.602996,116.512318
106,39.603031,116.041896
107,39.603044,116.511751
108,39.603069,116.511531
109,39.603114,116.511428
110,39.603149,116.511184
111,39.603231,116.51084
112,39.603231,116.511308
113,39.603268,116.510781
114,39.603313,116.510488
115,39.603345,116.510456
116,39.603348,116.510798
117,39.603393,116.510135
118,39.603419,116.510128
119,39.603463,116.510294
120,39.603475,116.509785
121,39.603498,116.509796
122,39.603508,116.836438
123,39.603553,116.50944
124,39.603573,116.50947
125,39.603586,116.509793
126,39.603633,116.509091
127,39.60365,116.509148
128,39.60366,116.042506
129,39.603693,116.509291
130,39.603718,116.508739
131,39.603729,116.508828
132,39.603808,116.508501
133,39.603813,116.508786
134,39.60389,116.508043
135,39.603893,116.508173
136,39.60393,116.508283
137,39.603973,116.042851
138,39.60398,116.507699
139,39.604054,116.836103
140,39.604063,116.507776
141,39.604068,116.507528
142,39.604074,116.507359
143,39.604158,116.507219
144,39.604181,116.507011
145,39.604211,116.507281
146,39.604251,116.506901
147,39.604276,116.043151
148,39.604288,116.506666
149,39.60435,116.506584
150,39.6044,116.506325
151,39.604453,116.506261
152,39.604513,116.505986
153,39.604514,116.506316
154,39.604558,116.505948
155,39.60458,116.043458
156,39.6046,116.835769
157,39.60463,116.505644
158,39.604665,116.505639
159,39.604665,116.505856
160,39.604753,116.5053
161,39.604778,116.505336
162,39.604836,116.505376
163,39.604885,116.043791
164,39.604888,116.505034
165,39.605006,116.504618
166,39.605018,116.504911
167,39.605126,116.504433
168,39.605138,116.504291
169,39.605141,116.835435
170,39.605193,116.044095
171,39.605199,116.504436
172,39.605248,116.504133
173,39.605269,116.503966
174,39.60537,116.503828
175,39.605388,116.503968
176,39.605399,116.503651
177,39.60549,116.503529
178,39.605496,116.0444
179,39.605529,116.503326
180,39.605573,116.503498
181,39.605614,116.503228
182,39.605663,116.503014
183,39.605736,116.502928
184,39.605765,116.503028
185,39.605798,116.502691
186,39.605813,116.044703
187,39.605858,116.502626
188,39.605935,116.502366
189,39.605953,116.502556
190,39.605981,116.502325
191,39.606066,116.502043
192,39.606101,116.502021
193,39.606131,116.045003
194,39.606231,116.834763
195,39.606333,116.501616
196,39.606335,116.501398
197,39.606346,116.501406
